team_name,oppname,outcome,score,venue,ko_year,ko_date,geo_id,geounits
Brunei,Malaysia,L,0 - 8,"Bangkok, Thailand",1971,21 May 1971,Brunei,BRN
Cook Islands,Tahiti,L,0 - 30,"Papeete, French Polynesia",1971,2 September 1971,Cook Islands,COK
Burundi,Tanzania,L,1 - 4,"Dar es Salaam, Tanzania",1971,5 December 1971,Burundi,BDI
United Arab Emirates,Qatar,W,1 - 0,Saudi Arabia,1972,17 March 1972,United Arab Emirates,ARE
Nepal,China,L,2 - 6,China,1972,13 October 1972,Nepal,NPL
Antigua & Barbuda,Trinidad & Tobago,L,1 - 11,"Port of Spain, Trinidad and Tobago",1972,13 October 1972,Antigua and Barbuda,ATG
Bangladesh,Thailand,D,2 - 2,Malaysia,1973,26 July 1973,Bangladesh,BGD
Seychelles,Réunion,L,0 - 2,"Saint-Louis, Réunion",1974,13 March 1974,Seychelles,SYC
Equatorial Guinea,China,L,2 - 6,"Beijing, China",1975,23 May 1975,Equatorial Guinea,GNQ
Guam,Fiji,L,0 - 11,Guam,1975,24 August 1975,Guam,GUM
Guinea-Bissau,Mali,D,2 - 2,"Banjul, Gambia",1976,15 January 1976,Guinea-Bissau,GNB
Rwanda,Burundi,L,2 - 6,"Libreville, Gabon",1976,29 June 1976,Rwanda,RWA
São Tomé & Príncipe,Chad,L,0 - 5,"Libreville, Gabon",1976,29 June 1976,São Tomé and Principe,STP
Angola,Cuba,W,1 - 0,"Luanda, Angola",1977,1 June 1977,Angola,AGO
Mozambique,Tanzania,L,1 - 2,"Maputo, Mozambique",1977,20 December 1977,Mozambique,MOZ
Cape Verde,Guinea-Bissau,L,0 - 3,"Bissau, Guinea-Bissau",1979,7 January 1979,Cabo Verde,CPV
Saint Vincent & the Grenadines,Martinique,D,2 - 2,Suriname,1979,February 1979,Saint Vincent and the Grenadines,VCT
Saint Kitts & Nevis,Jamaica,L,1 - 2,Suriname,1979,3 June 1979,Saint Kitts and Nevis,KNA
Samoa,Wallis & Futuna,L,1 - 3,Fiji,1979,22 August 1979,Samoa,WSM
Comoros,Mauritius,L,0 - 3,"Saint-Denis, Réunion",1979,26 August 1979,Comoros,COM
Tonga,Tahiti,L,0 - 8,Fiji,1979,29 August 1979,Tonga,TON
Maldives,Seychelles,L,0 - 9,"Saint-Denis, Réunion",1979,26 August 1979,Maldives,MDV
Liechtenstein,Switzerland,L,0 - 1,"Balzers, Liechtenstein",1982,9 March 1982,Liechtenstein,LIE
Bhutan,Nepal,L,1 - 3,"Kathmandu, Nepal",1982,1 April 1982,Bhutan,BTN
American Samoa,Western Samoa,L,1 - 3,"Apia, Western Samoa",1983,20 August 1983,American Samoa,ASM
Faroe Islands,Iceland,L,0 - 1,"Akranes, Iceland",1988,24 August 1988,Faroe Islands,FRO
Dominica,Jamaica,D,1 - 1,Dominica,1989,1 May 1989,Dominica,DMA
Namibia,Angola,L,0 - 1,"Oscar Norich Stadium, Tsumeb",1989,16 May 1989,Namibia,NAM
Saint Lucia,Jamaica,D,1 - 1,"Kingston, Jamaica",1989,18 June 1989,Saint Lucia,LCA
Georgia,Lithuania,D,2 - 2,"Tbilisi, Georgia",1990,27 May 1990,Georgia,GEO
San Marino,Switzerland,L,0 - 4,"Serravalle, San Marino",1990,14 November 1990,San Marino,SMR
Cayman Islands,British Virgin Islands,W,2 - 1,"Basseterre, Saint Kitts and Nevis",1991,10 May 1991,Cayman Islands,CYM
British Virgin Islands,Cayman Islands,L,1 - 2,"Basseterre, Saint Kitts and Nevis",1991,10 May 1991,British Virgin Islands,VGB
Montserrat,Saint Lucia,L,0 - 3,"Castries, Saint Lucia",1991,10 May 1991,Montserrat,MSR
Anguilla,Montserrat,D,1 - 1,"Castries, Saint Lucia",1991,14 May 1991,Anguilla,AIA
Moldova,Georgia,L,2 - 4,"Chişinău, Moldova",1991,2 July 1991,Moldova,MDA
Vietnam,Philippines,D,2 - 2,"Manila, Philippines",1991,26 November 1991,Vietnam,VNM
Ukraine,Hungary,L,1 - 3,"Uzhhorod, Ukraine",1992,29 April 1992,Ukraine,UKR
Kazakhstan,Turkmenistan,W,1 - 0,"Almaty, Kazakhstan",1992,1 June 1992,Kazakhstan,KAB
Turkmenistan,Kazakhstan,L,0 - 1,"Almaty, Kazakhstan",1992,1 June 1992,Turkmenistan,TKM
Slovenia,Estonia,D,1 - 1,"Tallinn, Estonia",1992,3 June 1992,Slovenia,SVN
Tajikistan,Uzbekistan,D,2 - 2,"Dushanbe, Tajikistan",1992,17 June 1992,Tajikistan,TJK
Uzbekistan,Tajikistan,D,2 - 2,"Dushanbe, Tajikistan",1992,17 June 1992,Uzbekistan,UZB
Eritrea,Sudan,D,1 - 1,"Khartoum, Sudan",1992,26 June 1992,Eritrea,ERI
Andorra,Estonia,L,1 - 6,"Andorra la Vella, Andorra",1992,26 June 1992,Andorra,AND
Belarus,Lithuania,D,1 - 1,"Vilnius, Lithuania",1992,20 July 1992,Belarus,BLR
Kyrgyzstan,Uzbekistan,L,0 - 3,"Tashkent, Uzbekistan",1992,23 August 1992,Kyrgyzstan,KGZ
Azerbaijan,Georgia,L,3 - 6,"Gurjaani, Georgia",1992,17 September 1992,Azerbaijan,AZE
Armenia,Moldova,D,0 - 0,"Yerevan, Armenia",1992,14 October 1992,Armenia,ARM
Bosnia & Herzegovina,Iran,W,3 - 1,"Tehran, Iran",1993,12 September 1993,Bosnia and Herzegovina,BIH
North Macedonia,Slovenia,W,4 - 1,"Kranj, Slovenia",1993,13 October 1993,Macedonia,MKD
Belize,El Salvador,L,0 - 3,"San Salvador, El Salvador",1995,29 November 1995,Belize,BLZ
US Virgin Islands,British Virgin Islands,W,1 - 0,"Charlotte Amalie, U.S. Virgin Islands",1998,21 March 1998,United States Virgin Islands,VIR
Turks & Caicos Islands,Bahamas,L,0 - 3,"Nassau, Bahamas",1999,24 February 1999,Turks and Caicos Islands,TCA
Timor-Leste,Sri Lanka,L,2 - 3,"Colombo, Sri Lanka",2003,21 March 2003,East Timor,TLS
Serbia,Czech Republic,W,3 - 1,"Uherské Hradiště, Czech Republic",2006,16 August 2006,Serbia,SRB
Montenegro,Hungary,W,2 - 1,"Podgorica, Montenegro",2007,24 March 2007,Montenegro,MNE
South Sudan,Uganda,D,2 - 2,"Juba, South Sudan",2012,10 July 2012,South Sudan,SDS
Gibraltar,Slovakia,D,0 - 0,"Faro, Portugal",2013,19 November 2013,Gibraltar,GIB
Kosovo,Haiti,D,0 - 0,"Mitrovica, Kosovo",2014,5 March 2014,Kosovo,KOS
